20 20
M 1 4
M 13 12
M 4 2
M 14 18
M 0 15
M 1 6
M 17 12
M 15 19
M 6 13
M 19 3
M 7 13
M 5 4
M 0 8
M 1 7
M 14 10
M 0 12
M 11 7
M 16 8
M 1 0
M 17 18
M 7 5
M 4 14
M 8 6
M 16 1
M 6 16
M 11 10
M 13 13
M 15 14
M 3 2
M 14 19
M 4 17
M 16 15
M 5 9
M 12 9
M 5 14
M 12 0
M 7 15
M 6 0
g 0 2
l 13 11
i 12 6
f 9 5
j 12 17
u 17 3
k 8 16
q 13 2
p 19 19
k 12 10
q 19 17
i 0 9
j 4 18
m 10 17
e 5 6
m 19 10
h 12 11
u 3 13
f 3 10
r 15 7
k 1 5
y 17 17
x 6 15
g 12 16
n 15 1
k 16 9
b 7 12
g 9 6
z 13 15
a 1 19
i 10 2
l 13 14
b 14 4
y 0 16
f 11 2
